"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"8318",8798,367,347,2,2,8,0,0,2,0,5,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,347
"8323",8803,367,347,3,2,10,0,1,1,0,5,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,347
"8325",8805,367,347,1,2,11,1,1,0,3,5,1,0,3,15559,2,1,1,15,5,1,4,75,0.6875,2,3,0,5,55,5,3,5.384615385,0,"Pilrig_Control",11,15,5,1,1,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,347
"8329",8809,368,348,1,2,3,2,1,2,0,0,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,348
"8333",8813,368,348,1,2,6,0,-1,2,3,40,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,348
"8339",8819,368,348,3,2,7,2,-1,2,1,10,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,348
"8343",8823,368,348,3,2,8,2,1,0,3,40,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,348
"8347",8827,368,348,3,2,10,0,1,1,0,5,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,348
"8351",8831,368,348,3,2,11,1,1,2,0,10,1,0,3,20800,2,1,1,20,10,1,4,75,0.6875,3,1,0,5,55,5,1,5.923076923,0,"Pilrig_Control",11,20,10,1,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,348
"8353",8833,369,349,1,2,3,2,1,2,0,0,1,0,3,36400,2,1,1,15,5,1,4,25,0.6875,2,2,1,2,25,5,1,3.615384615,0,"Pilrig_Control",11,15,5,2,3,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,349
"8357",8837,369,349,1,2,6,0,-1,2,3,40,1,0,3,36400,2,1,1,15,5,1,4,25,0.6875,2,2,1,2,25,5,1,3.615384615,0,"Pilrig_Control",11,15,5,2,3,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,349
"8362",8842,369,349,2,2,7,1,1,2,3,40,1,0,3,36400,2,1,1,15,5,1,4,25,0.6875,2,2,1,2,25,5,1,3.615384615,0,"Pilrig_Control",11,15,5,2,3,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,349
"8367",8847,369,349,3,2,8,2,1,0,3,40,1,0,3,36400,2,1,1,15,5,1,4,25,0.6875,2,2,1,2,25,5,1,3.615384615,0,"Pilrig_Control",11,15,5,2,3,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,349
